t,"DePM,L=20","DeEPCA,L=20","ADePM $\beta=\beta^*$,L=20","ADePM $\beta=\beta_t$,L=20","DePM,L=40","DeEPCA,L=40","ADePM $\beta=\beta^*$,L=40","ADePM $\beta=\beta_t$,L=40"
0,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001
1,0.9813984675295528,0.9813984675295528,0.9813984675295528,0.9813984675295528,0.9813984674811076,0.9813984674811076,0.9813984674811076,0.9813984674811076
2,0.9589200392011508,0.9589200411397034,0.9403815037049061,0.9953521035170951,0.9589178564391141,0.9589178564391132,0.9403778731438754,0.9953520669540604
3,0.9255079719325993,0.9254779767737729,0.9668223506900762,0.9828907337902594,0.9255016727646485,0.925501672650113,0.9668347987476945,0.9828906208987553
4,0.8857992354894086,0.8857607436170889,0.9536048000537817,0.9980079887745691,0.8857891405594187,0.885789140360733,0.9536261788566585,0.9980079223283721
5,0.8464197738875079,0.8463838099619869,0.9005434187500854,0.9907622405628875,0.8464101214874395,0.8464101211841866,0.9005779673163938,0.9907616776219058
6,0.8115612549587062,0.8115365934130214,0.7987215979123861,0.9925566342181875,0.8115564898103809,0.8115564894057025,0.7988331417033853,0.9925572769966877
7,0.782254549318079,0.782244008724421,0.837763639195003,0.9731492064535919,0.782256498787641,0.7822564983015896,0.8378193280576354,0.9731634270307707
8,0.7577223658653491,0.7577246777993826,0.8144632774247765,0.905557018116821,0.7577306635316554,0.7577306629852775,0.8145149882517424,0.905595048364247
9,0.7366964437831398,0.736708974960284,0.5775556834786163,0.8140403114239048,0.7367098293761377,0.7367098287838223,0.5776286065281058,0.8140670868704994
10,0.7180759032023682,0.7180960495116292,0.46498730329488,0.74066899765293,0.7180929803097841,0.7180929796795263,0.46499690521060877,0.7406870564676697
11,0.7010807743606731,0.701106341793276,0.5491630023606021,0.6946066973456526,0.7011002571730109,0.7011002565088095,0.5492155615197022,0.6946233781969938
12,0.6852017138715638,0.6852309135888808,0.44760085897419555,0.6643587594648747,0.6852224621383385,0.6852224614421029,0.4476010542785087,0.6643753104552717
