t,"DePM,L=20","DeEPCA,L=20","ADePM_bstar,L=20","ADePM_btune,L=20","DePM,L=40","DeEPCA,L=40","ADePM_bstar,L=40","ADePM_btune,L=40"
0,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001,0.993510722613001
1,0.9813984675295525,0.9813984675295525,0.9813984675295525,0.9813984675295525,0.9813984674811074,0.9813984674811074,0.9813984674811074,0.9813984674811074
2,0.9589200392011504,0.9589200411397039,0.9403815037049053,0.9953521035170951,0.9589178564391139,0.9589178564391144,0.9403778731438741,0.9953520669540603
3,0.9255079719325988,0.9254779767737746,0.966822350690075,0.982890733790259,0.925501672764648,0.9255016726501181,0.9668347987476922,0.9828906208987553
4,0.885799235489408,0.8857607436170928,0.9536048000537798,0.9980079887745691,0.8857891405594174,0.885789140360743,0.9536261788566541,0.9980079223283721
5,0.846419773887506,0.8463838099619925,0.9005434187500799,0.9907622405628875,0.8464101214874377,0.8464101211842001,0.9005779673163837,0.9907616776219055
6,0.8115612549587036,0.8115365934130271,0.7987215979123736,0.9925566342181888,0.8115564898103784,0.8115564894057183,0.7988331417033606,0.9925572769966898
7,0.7822545493180758,0.782244008724428,0.8377636391949875,0.9731492064535965,0.7822564987876381,0.7822564983016081,0.8378193280576053,0.9731634270307795
8,0.7577223658653456,0.7577246777993909,0.8144632774247593,0.9055570181168341,0.7577306635316519,0.757730662985299,0.8145149882517088,0.9055950483642746
9,0.7366964437831364,0.7367089749602943,0.5775556834785991,0.8140403114239122,0.736709829376134,0.7367098287838479,0.5776286065280727,0.8140670868705182
10,0.7180759032023645,0.7180960495116421,0.46498730329485327,0.740668997652927,0.7180929803097801,0.7180929796795574,0.4649969052105574,0.7406870564676693
11,0.7010807743606687,0.7011063417932927,0.549163002360567,0.6946066973456437,0.7011002571730068,0.7011002565088481,0.5492155615196325,0.6946233781969836
12,0.6852017138715596,0.6852309135889016,0.44760085897416574,0.6643587594648652,0.6852224621383343,0.68522246144215,0.4476010542784501,0.6643753104552593
13,0.6701144779789128,0.6701458378188692,0.2468645785964082,0.6364148740456785,0.6701354781916814,0.6701354774644075,0.24676592805184622,0.6364306417816465
14,0.6556119853123394,0.6556442693728026,0.21452966450644387,0.6051075018012335,0.6556323289928666,0.6556323282350429,0.21447700277257092,0.6051189411436407
15,0.6415596397703718,0.6415917913374549,0.24899961712550106,0.5700990149974815,0.6415785086455075,0.6415785078575625,0.24893173104224572,0.570100153877015
16,0.6278679091684645,0.6278990126041759,0.1732875010268664,0.5337834138882019,0.6278845659301903,0.6278845651125736,0.1731922737298649,0.5337684086363906
17,0.6144758382813389,0.6145050933296805,0.09173156299665955,0.4982491564636038,0.6144896202814352,0.6144896194346708,0.09162241969910631,0.4982136639024016
18,0.601341093995937,0.6013677977561929,0.09770075819478725,0.46426773666251664,0.601351408157402,0.6013514072821039,0.09761018756975857,0.4642086998900449
19,0.5884338428101019,0.5884573765156916,0.09361073635660036,0.43203004785180055,0.5884401610079474,0.5884401601048154,0.09352814701696081,0.4319455651698594
20,0.5757328846499974,0.5757527036285588,0.06410980880019461,0.4015526174524944,0.5757347393695607,0.5757347384393683,0.06401702379654235,0.4014420595691356
21,0.5632231369652522,0.5632387628347968,0.03279356055987135,0.37276351949302544,0.5632201172619389,0.5632201163055176,0.03266919803668448,0.3726273851469793
22,0.5508939464352419,0.550904960938346,0.03992669564818435,0.3456013003284153,0.550885694254861,0.5508856932730868,0.03983965259548721,0.3454409256657551
23,0.5387379221789332,0.5387439622388911,0.03712052220419147,0.3200527755062045,0.538724129066797,0.538724128060577,0.03703415006745339,0.3198700956999933
24,0.5267501071237747,0.526750860813935,0.01938768760637253,0.29611739235397794,0.5267305113108643,0.5267305102811232,0.019266007083603744,0.29591473896918014
25,0.5149273747952284,0.5149225779857887,0.015219573360475035,0.2737698643498131,0.5149017586211749,0.5149017575688457,0.015104756838399935,0.27354977888908444
26,0.503267980293637,0.5032574137946519,0.016320779529546522,0.252956951744351,0.5032361679114853,0.5032361668375012,0.016234370138503578,0.2527220362026112
27,0.49177121926995987,0.4917547063311109,0.012649156763356586,0.23360853330211254,0.49173307457311494,0.4917330734784008,0.01255906443687384,0.23336133721762092
28,0.4804371642467736,0.4804145683061749,0.008126314573033092,0.21564641468498116,0.48039258895986925,0.48039258784533545,0.008018605782411963,0.2153893477456559
29,0.4692664575248061,0.4692376805868386,0.005720192269849924,0.1989899575498259,0.46921538940442736,0.46921538827095516,0.005606136723603522,0.19872522672670775
30,0.45826014636590723,0.4582339446185821,0.006362110998997222,0.18355932565688796,0.45820255746223615,0.4582025563271273,0.006281259291271015,0.18328889873819187
31,0.4474195504315077,0.4473870715445748,0.004978254269508007,0.16927686201863168,0.44735544536729777,0.44735544421507956,0.004898591865470347,0.16900245424316457
32,0.43674615435021663,0.43670738088771527,0.00239628718953125,0.1560675121962171,0.43667556857888423,0.43667556741030344,0.0022697088019410813,0.1557905894603288
33,0.42624152026500417,0.4261964681366272,0.0025989772329028872,0.14385903069538075,0.42616451827525703,0.4261645170910339,0.0025118274274048284,0.14358082355731702
34,0.41590721657245816,0.4158559319346824,0.0025814496720491446,0.13258223937994687,0.4158238900131069,0.4158238888139321,0.002515892149136921,0.13230376386197396
35,0.4057447600118671,0.40568731705718264,0.0016987987642484667,0.12217128560214845,0.4056552257175895,0.4056552245041239,0.0016183474663565268,0.1218933677103537
36,0.39575556892250846,0.3956920675376206,0.0010666875440112536,0.1125638221487393,0.39565996682950444,0.39565996560237726,0.0009437356855332096,0.11228712336777315
37,0.38594092595295815,0.3858714892823892,0.00109845864344107,0.10370109413408425,0.3858394169025531,0.3858394156623626,0.0009853262567084487,0.10342613577706483
38,0.3763019488378421,0.37622672077030844,0.0010750600646352115,0.09552794266467135,0.3761947122758687,0.3761947110231813,0.000966811185366532,0.0952551279419951
39,0.36683956809747065,0.36675871069617466,0.0007316556140424729,0.08799274356703152,0.3667267996870567,0.36672679842240874,0.000566433659766969,0.08772237707431697
40,0.35755451069332594,0.3574682015972565,0.0005749829622491457,0.08104730166916528,0.35743641986785357,0.3574364185917531,0.00034286236969076534,0.08077960636187687
41,0.34844728880747916,0.3483557186366474,0.000604137321078054,0.07464671728336626,0.3483240962981117,0.34832409501103906,0.00042226582861130924,0.07438184905077691
42,0.3395181930202623,0.33942156282213654,0.0005513184147239865,0.06874923580687986,0.3393901283978311,0.33939012710024136,0.00034173169371438835,0.06848729577681618
43,0.3307672892470591,0.33066580802346524,0.0004911940063485766,0.06331608716921061,0.33063458852075783,0.3306345872130823,0.00020197220383544025,0.06305713196258358
44,0.32219441886789624,0.3220883012209372,0.00047353126373305353,0.05831131987203613,0.32205732218287353,0.3220573208655221,0.00014676133679046197,0.058055370098833735
45,0.3137992015464715,0.3136886654786332,0.0004720332126636196,0.053701633394354006,0.31365795101916855,0.3136579496925318,0.0001596602725704475,0.05344868067924444
46,0.30558104029076555,0.3054663051887041,0.00046337348080389897,0.04945621198427277,0.30543587801513644,0.30543587667958705,0.00013299221638101566,0.049206224761675924
47,0.297539128357014,0.29742041318115203,0.0004510120922487205,0.04554656216389724,0.29739029460724054,0.29739029326313554,6.56079902176792e-05,0.045299490440587745
48,0.28967245764350263,0.28954997933732135,0.00044588730257753313,0.0419463556446992,0.2895201892903048,0.2895201879379868,5.662931898555998e-05,0.041702134903753976
49,0.2819798282611209,0.281853800385638,0.0004433457665189991,0.03863127881980924,0.28182435741003437,0.28182435604983236,6.668478586015042e-05,0.03838983321820484
50,0.2744598590043323,0.274330490595442,0.00044030291323024625,0.03557888957460907,0.27430141185613166,0.27430141048836315,4.463136910974325e-05,0.03534013456093671
51,0.2671109984796378,0.26697849311925503,0.00043871375990416436,0.0327684818274778,0.2669497944059442,0.26694979303091576,2.4749419072450166e-05,0.03253232628155636
52,0.2599315366790468,0.2597960917656873,0.0004380057623069988,0.030180957965546283,0.25976778750042895,0.25976778611843704,2.462364178226399e-05,0.029947305943056772
53,0.25291961681384934,0.25278142301450796,0.0004372688490028833,0.027798709161068035,0.2527535262635525,0.25275352487488356,2.445255815201304e-05,0.027567461312446216
54,0.2460732472493278,0.24593248811226454,0.00043646660185745747,0.025605503426574448,0.24590501060310704,0.24590500920803854,1.653328258049931e-05,0.0253765581474216
55,0.2393903134041722,0.2392471651112991,0.0004358989684760182,0.023586381176881582,0.2392201172554284,0.239220115854229,8.703928655656261e-06,0.023359635536403696
56,0.2328685894994088,0.23272322073717214,0.0004355857373240112,0.021727558003184447,0.2326966116586962,0.23269661025162625,1.0229277711463013e-05,0.02150290848824975
57,0.2265057500607618,0.22635832198944564,0.0004353632540083216,0.02001633432301851,0.2263321595594801,0.22633215814679214,9.360189748011888e-06,0.019793677428393126
58,0.22029938109562072,0.2201500473986091,0.0004352293141358617,0.01844101154539266,0.2201243382750862,0.22012433685702393,5.5075655655175066e-06,0.018220244235078356
59,0.21424699088127788,0.2140958978777687,0.0004351784788233089,0.016990814378851724,0.21407064755013785,0.21407064612693724,3.5571787846705025e-06,0.01677183443884548
60,0.2083460203149281,0.2081933071216873,0.0004351288831313215,0.015655818908193897,0.20816851995985416,0.20816851853174306,4.082229642093506e-06,0.015438525207269117
61,0.20259385278814407,0.2024396515179891,0.00043503190307822624,0.014426886070522654,0.2024153308247563,0.2024153293919552,3.4971493512673608e-06,0.014211178742629704
62,0.19698782355927275,0.1968322595459698,0.00043491104045544814,0.013295600171295427,0.19680840761220764,0.19680840617492937,1.8939997895843157e-06,0.013081380730705116
63,0.19152522860652132,0.19136842064760637,0.0004348057128295446,0.012254212094420004,0.19134503880937753,0.1913450373678275,1.4247680271459381e-06,0.012041383492676186
64,0.18620333295252622,0.186045393563178,0.0004347259325999392,0.01129558687602092,0.18602248226006884,0.18602248081444522,1.6785438044728142e-06,0.011084053508097231
65,0.1810193784580227,0.18086041413052048,0.0004346654537940297,0.01041315532840359,0.18083797296448356,0.180837971514977,1.2162593586503539e-06,0.010202822994116336
66,0.1759705910879725,0.175810702552461,0.00043462103162496594,0.009600869418371428,0.1757887303465348,0.17578872889332886,6.735477376405038e-07,0.009391645243991477
67,0.17105418765826358,0.17089347014153644,0.0004345906850359154,0.008853161121896252,0.170871964997887,0.17087196354115838,6.122641408389731e-07,0.008644953445950917
68,0.16626738207497332,0.16610592555480772,0.00043456972040309747,0.008164904494807296,0.16608488491160994,0.16608488345152883,6.358033825482975e-07,0.007957622721242964
69,0.16160739108129185,0.16144528053451374,0.0004345525742615098,0.007531380716371937,0.16142470122127642,0.16142469975800605,4.5903063119599004e-07,0.007324935137569036
70,0.15707143952961716,0.15690875517261538,0.000434536843100483,0.006948245879249696,0.15688863346362222,0.15688863199731934,2.0109130730351735e-07,0.006742547470802035
71,0.152656765198163,0.15249358271897623,0.00043452331629830246,0.006411501315199416,0.1524739143845948,0.1524739129154099,2.5984254688048715e-07,0.006206461503865479
72,0.14836062317272933,0.14819701395415866,0.0004345129548297389,0.0059174662610145656,0.14817779430982778,0.14817779283790541,2.556426004719865e-07,0.0057129966668050145
73,0.14418028981515638,0.1440163211486088,0.0004345056329177066,0.005462752683427131,0.1439975451013778,0.1439975436268561,1.4243700648459564e-07,0.005258764836400325
74,0.14011306634048679,0.1399488016304404,0.0004345006412774135,0.005044242095119812,0.13993046372298085,0.13993046224599223,9.680602502058102e-08,0.004840647127113886
75,0.136156282025043,0.13599178098417428,0.0004344971646265986,0.00465906420654567,0.13597387543623038,0.1359738739569023,1.0226361057499631e-07,0.004455772517774906
76,0.13230729706755565,0.13214261590267287,0.00043449425407432755,0.004304577269981899,0.13212513664995384,0.1321251351684076,9.213716660318584e-08,0.004101498170165596
77,0.12856350512519488,0.1283986967141978,0.00043449108451297486,0.003978349983166294,0.12838163744474113,0.12838163596109317,5.830867473886501e-08,0.0037753913066464646
78,0.12492233554589195,0.12475744960603695,0.0004344875892435989,0.0036781448300130743,0.12474080379409928,0.12474080230846106,2.9742466122985044e-08,0.0034752125241523484
79,0.12138125531775196,0.12121633856553311,0.0004344844332273715,0.003401902745313446,0.12120009950308319,0.1212000980155609,4.327592339832169e-08,0.0031989004313562304
80,0.11793777075565105,0.1177728670586349,0.00043448216558637163,0.003147728999023244,0.11775702788453607,0.11775702639523176,3.684574159993611e-08,0.0029445575045835815
81,0.11458942894433562,0.11442457946529976,0.00043448062335166445,0.002913880203776329,0.11440913319228006,0.1144091317012907,1.613099150717606e-08,0.002710437066180543
82,0.11133381895650452,0.11116906229023266,0.0004344792433702359,0.0026987523566462013,0.1111540018297471,0.11115400033716578,1.570566903989221e-08,0.0024949312965669075
83,0.1081685728634772,0.1080039451665665,0.00043447772192247873,0.0025008698329583843,0.10798926335166215,0.10798926185757729,1.7852207339896524e-08,0.002296560198155827
84,0.10509136655516021,0.10492690166918829,0.0004344761941491769,0.002318875256144866,0.10491259127547868,0.10491258977997493,1.320008696319895e-08,0.002113961435743212
85,0.10209992038511352,0.10193564995350567,0.0004344749036566006,0.002151520173248601,0.10192170371837042,0.10192170222152847,7.744044980575785e-09,0.001945880983904487
86,0.09919199965562148,0.09902795323454872,0.00043447390942162205,0.001997656470752225,0.09901436387466253,0.09901436237655924,6.939952291075226e-09,0.001791164517406187
87,0.09636541495677822,0.09620162012040144,0.0004344731148785793,0.0018562284699070453,0.09618838034770158,0.09618837884841039,7.535138985235687e-09,0.0016487494856941278
88,0.09361802237272636,0.09345450481309259,0.00043447243129890684,0.0017262656446931975,0.09344160734928808,0.09344160584887864,5.7594449714583e-09,0.0015176578171680936
89,0.09094772356733938,0.09078450718921827,0.00043447183595633835,0.001606875908939041,0.09077194477893867,0.0907719432774776,4.10558303862708e-09,0.001396989203254938
90,0.08835246576081697,0.0881895727717554,0.0004344713257339736,0.001497239421945509,0.08817733819443432,0.08817733669198499,4.0853871227492105e-09,0.001285914916242427
91,0.08583024160787428,0.08566769260372978,0.0004344708832358531,0.0013966028642217621,0.08565577868431441,0.08565577718093717,4.0512218303610545e-09,0.0011836721184834496
92,0.08337908898745297,0.08321690303365373,0.000434470489634885,0.0013042741366529988,0.08320530265222421,0.08320530114797652,3.4922657458404167e-09,0.001089558623943016
93,0.08099709071315879,0.08083528542192447,0.0004344701387199731,0.0012196174376516422,0.08082399152230467,0.08082399001724115,3.158300569132892e-09,0.0010029280761481504
94,0.07868237417295024,0.07852096577669525,0.0004344698288246448,0.001142048673759421,0.07850997137413018,0.0785099698683029,3.1930910760582966e-09,0.0009231855094592436
95,0.07643311090595574,0.0762721143270808,0.00043446955310550496,0.0010710311600460893,0.07626141251505346,0.07626141100851176,3.1372585679535155e-09,0.0008497832632023168
96,0.07424751612368437,0.07408694504095434,0.0004344693031976639,0.0010060715680083663,0.07407652899720638,0.07407652748999694,3.012028553441493e-09,0.0007822172206193741
97,0.07212384818232154,0.07196371509401199,0.00043446907580752106,0.0009467160812638685,0.07195357808583301,0.07195357657800089,2.9572866566616817e-09,0.0007200233468213715
98,0.07006040801226261,0.06990072429624954,0.0004344688712428345,0.0008925467242835078,0.06989085968509162,0.0698908581766787,2.9457022414655803e-09,0.0006627745019810882
99,0.06805553851052915,0.06789631448148405,0.00043446868846888057,0.0008431778380043451,0.0678867157269562,0.06788671421800274,2.9336336436552934e-09,0.0006100775078839582
100,0.06610762390124442,0.0659488688650863,0.000434468524604109,0.0007982526897027248,0.0659395295283796,0.06593952801892383,2.911418638488158e-09,0.0005615704477019422
101,0.06421508906889675,0.0640568113746458,0.0004344683776180387,0.0007574402235728571,0.06404772512143678,0.06404772361151446,2.893143326375376e-09,0.0005169201804474325
102,0.06237639886871605,0.06221860595788262,0.00043446824692665537,0.0007204319821003857,0.06220976656075747,0.062209765050402904,2.883250475702905e-09,0.00047582005304193235
103,0.06059005741810078,0.06043275587173768,0.00043446813151938254,0.00068693925320246,0.06042415721217861,0.0604241557014242,2.8764966525748734e-09,0.00043798779429190843
104,0.058854607372682166,0.058697802956217744,0.0004344680290399073,0.0006566905183779467,0.05868943902618904,0.058689437515065446,2.8731979908849674e-09,0.0004031635763062661
105,0.05716862919028196,0.057012326896245635,0.0004344679369484332,0.0006294292856554243,0.05700419179941419,0.05700419028795062,2.8706475698145063e-09,0.00037110823004679887
106,0.055530740385713935,0.05537494447446063,0.0004344678537605215,0.0006049123821883961,0.05536703242708265,0.05536703091530679,2.8667456163820954e-09,0.000341601602755918
107,0.05393959477910218,0.05378430881763249,0.0004344677789109071,0.0005829087532295575,0.05377661414913806,0.053776612637076046,2.863349847104074e-09,0.0003144410459823886
108,0.05239388174012466,0.05223910863909637,0.0004344677119486874,0.0005631987706208027,0.05223162579239692,0.052231624280073614,2.8616083825864542e-09,0.0002894400238220372
109,0.05089232543035647,0.05073806747937159,0.0004344676521851672,0.0005455740030630914,0.0507307910109188,0.05073078949835752,2.860891513571812e-09,0.00026642683181527524
110,0.04943368404566009,0.04927994294691314,0.00043446759883188004,0.0005298373526999895,0.04927286752652997,0.04927286601375279,2.8601116352351405e-09,0.0002452434177040748
111,0.04801674906037274,0.04786352596073547,0.0004344675511239991,0.0005158034279398936,0.04785664637124418,0.047856644858271985,2.859047862598104e-09,0.00022574429594889253
